,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
387,387,Nhulunbuy,AU,-12.2333,136.7667,92.01,55,40,8.05,scattered clouds,East Arnhem Real Estate
392,392,Banes,CU,20.9625,-75.7186,76.98,81,9,7.52,clear sky,Hostal Iván y yailet
398,398,Hambantota,LK,6.1241,81.1185,73.74,100,20,3.44,few clouds,Bungalow 63
401,401,Katobu,ID,-4.9408,122.5276,75.56,95,100,4.63,overcast clouds,La Ode Husein
409,409,Alofi,NU,-19.0595,-169.9187,78.55,77,100,15.21,overcast clouds,Taloa Heights
410,410,Les Cayes,HT,18.2,-73.75,75.65,83,86,2.24,overcast clouds,Villa Orphee
416,416,Makakilo City,US,21.3469,-158.0858,78.69,69,2,21.27,clear sky,Marriott's Ko Olina Beach Club
418,418,Mbandaka,CD,0.0487,18.2603,70.27,96,100,2.3,light rain,Guest House Epervier
420,420,Robertsport,LR,6.7533,-11.3686,79.34,76,100,1.99,overcast clouds,Kwepunha Retreat
424,424,Bakel,SN,14.905,-12.4568,78.26,20,28,8.81,scattered clouds,Ablaye Diallo Bakel
426,426,Bonthe,SL,7.5264,-12.505,78.04,79,59,4.36,broken clouds,Bonthe Holiday Village
428,428,Aquiraz,BR,-3.9014,-38.3911,81.18,76,37,14.72,scattered clouds,Pousada Rua Camurupim
429,429,Vao,NC,-22.6667,167.4833,75.47,79,43,9.35,scattered clouds,Hotel Kou-Bugny
434,434,Jovellar,PH,13.0695,123.5999,83.01,80,100,10.0,overcast clouds,Michael Calag Boarding house
435,435,San Carlos,VE,9.6612,-68.5827,72.36,95,65,3.24,broken clouds,Hotel Paternopoli
437,437,Nyaunglebin,MM,17.95,96.7333,76.44,77,1,4.81,clear sky,Thi ha
439,439,Port-Gentil,GA,-0.7193,8.7815,76.89,88,100,7.92,overcast clouds,Fengshui Residence
440,440,Bubaque,GW,11.2833,-15.8333,82.29,43,69,5.68,broken clouds,"Casa Dora, Bubaque"
442,442,Nanakuli,US,21.3906,-158.1547,80.11,70,3,19.73,clear sky,Camp Pālehua
444,444,Quatre Cocos,MU,-20.2078,57.7625,71.1,75,22,6.33,few clouds,Sunrise Attitude Hotel
445,445,Lubao,PH,14.9167,120.55,83.14,75,77,14.63,light rain,Hacienda Gracia
447,447,Saint-Pierre,RE,-21.3393,55.4781,71.28,56,0,9.22,clear sky,Alize Plage
448,448,Auki,SB,-8.7676,160.7034,84.92,68,46,3.27,scattered clouds,Auki Motel
449,449,Kaeo,NZ,-35.1,173.7833,72.32,75,91,13.22,overcast clouds,Bushido Lodge
450,450,Sur,OM,22.5667,59.5289,74.19,62,0,7.02,clear sky,Sur Plaza Hotel
451,451,Cayenne,GF,4.9333,-52.3333,77.04,88,100,3.44,overcast clouds,Hôtel Le Dronmi
452,452,Mocuba,MZ,-16.8392,36.9856,73.62,93,3,3.02,clear sky,Phama Lodge
453,453,Caravelas,BR,-17.7125,-39.2481,70.7,97,100,6.11,light rain,Pousada dos Navegantes
457,457,Manuk Mangkaw,PH,4.8,119.85,79.66,77,100,11.65,overcast clouds,
460,460,Kanniyakumari,IN,8.0833,77.5667,77.41,80,79,6.87,broken clouds,Sparsa Kanyakumari
462,462,Felipe Carrillo Puerto,MX,19.5833,-88.05,72.41,96,68,0.6,light rain,Hotel La Ceiba
464,464,Caloundra,AU,-26.8,153.1333,89.11,71,71,8.01,broken clouds,Watermark Resort Caloundra
470,470,Itarema,BR,-2.9248,-39.9167,79.27,77,67,15.35,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
471,471,Marawi,PH,7.9986,124.2928,79.97,67,61,2.68,broken clouds,Derogongan Residence
477,477,Porbandar,IN,21.6422,69.6093,73.98,39,0,7.4,clear sky,Lords Inn Porbandar
482,482,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,12.66,scattered clouds,Osprey Beach Hotel
484,484,Bowen,AU,-20.0167,148.2333,84.31,73,42,14.56,scattered clouds,Castle Motor Lodge Motel
485,485,Carutapera,BR,-1.195,-46.02,78.13,85,49,7.09,scattered clouds,Lidera
489,489,Tevaitoa,PF,-16.7833,-151.5,78.31,73,55,16.69,broken clouds,Hôtel Raiatea Lodge
490,490,Puerto Escondido,MX,15.85,-97.0667,81.43,65,40,3.44,scattered clouds,Aldea del Bazar Hotel and Spa
492,492,Bucerias,MX,20.75,-105.3333,76.98,73,75,3.44,broken clouds,Royal Decameron Complex - Puerto Vallarta
495,495,Tautira,PF,-17.7333,-149.15,77.14,71,20,13.11,few clouds,Pension Oaoa
496,496,Namatanai,PG,-3.6667,152.4333,86.4,55,94,7.9,overcast clouds,Seagulls Inn Namatani
497,497,Kabo,CF,7.6994,18.629,70.5,32,73,4.07,broken clouds,
499,499,Marsh Harbour,BS,26.5412,-77.0636,77.36,78,62,21.94,broken clouds,Abaco Beach Resort
508,508,Porto Velho,BR,-8.7619,-63.9039,78.85,89,0,1.14,clear sky,Ecos Hotel Conforto
510,510,Wukari,NG,7.85,9.7833,73.89,32,63,4.34,broken clouds,Elimtop
512,512,Mangrol,IN,21.1167,70.1167,71.71,45,0,8.21,clear sky,Hotel The Royal Honours
517,517,Atar,MR,20.5169,-13.0499,70.74,19,0,8.52,clear sky,Oumou Elghoura
521,521,Kollam,IN,8.8833,76.6,75.74,83,86,4.5,overcast clouds,The Raviz Ashtamudi
522,522,Malakal,SS,9.5334,31.6605,74.64,32,5,4.68,clear sky,Nile Palace Hotel
529,529,Vila Velha,BR,-20.3297,-40.2925,72.95,95,99,2.82,light rain,Hotel Vitória Palace
534,534,Kudahuvadhoo,MV,2.6708,72.8944,81.75,78,91,19.08,overcast clouds,Niyama Private Islands Maldives
536,536,Tabuk,PH,17.4189,121.4443,81.43,74,81,3.38,light rain,Golden Berries Hotel and Convention
551,551,Ca Mau,VN,9.1769,105.15,77.68,87,100,6.73,light rain,Mường Thanh Luxury Cà Mau Hotel
552,552,Manoel Urbano,BR,-8.8389,-69.2597,79.56,71,24,2.93,light rain,Baixada Beira Rio
567,567,Kieta,PG,-6.2167,155.6333,85.89,56,26,4.88,scattered clouds,Uruna Bay Retreat
569,569,Inirida,CO,3.8653,-67.9239,75.22,96,95,2.42,moderate rain,Fuente del Guania Hotel de Lujo
571,571,Tolaga Bay,NZ,-38.3667,178.3,73.49,49,76,11.65,broken clouds,Tolaga Bay Motel
575,575,Kavaratti,IN,10.5669,72.642,80.37,53,93,6.71,overcast clouds,Green leaf
576,576,Tame,CO,6.461,-71.73,72.7,89,49,5.23,scattered clouds,Hospedaje Santa Ana
577,577,Kontagora,NG,10.3999,5.4695,71.94,26,52,4.25,broken clouds,Queens Guest Inn
581,581,Paka,MY,4.6374,103.4368,83.37,79,100,1.54,overcast clouds,RUMBIA RESORT VILLA Paka Terengganu
